id,text,date
"2042069878044291495","Credit to the XChat team 
@iMinichrispy
 
@shawnthesun
 
@ZachWarunek
 
@cambridgemike","2026-04-09"
"2041594683072413883","Ladies and gentlemen, we're launching a brand new Photo Editor in our post composer.

It has long-overdue features like drawing & text. But we also included special add-ons that are unique to X:

• Edit with words, powered by Grok 
• Add a blur to redact parts of the photo","2026-04-07"
"2041595819980444031","Credits:

@_trevorholliday
 for shipping his 1st big feature

@nicoduc
 on design (with 
@benjitaylor
 supporting)

@beeple
 for his artwork","2026-04-07"
"2041335306331549699","We're rolling out auto-translate worldwide to give posts in any language global reach on X.

The translations are powered by Grok and have improved substantially over the last couple months.

If you prefer to read in the original language, you can always turn off auto-translate","2026-04-07"
"2041353321374748739","Credit to 
@yuki_arano
 
@rayhotate
 and the rest of the team for getting this across the finish line.","2026-04-07"
"2036867075705364911","We're testing a new reply setting on posts: 

We're expanding the ""Accounts you follow"" option to include their followers too: your 2nd degree connections.

This allows a wider audience to participate—but still keeps things intimate

Early access available to Premium+ subscribers","2026-03-25"
"2036869177173303398","Credit to 
@rsrbk123
 
@striedinger
 
@x_belous
 
@singhai
 for their work on this. 

And thanks 
@photomatt
 for the suggestion","2026-03-25"
"2041306344108798167","Friends-of-Friends is now available to all Premium users","2026-04-07"
"2040969841306468454","Well, we fixed the last bug. 
X is officially bug-free.","2026-04-06"
"2040979119748571608","","2026-04-06"
"2040892321043259567","If gas goes up another ten cents, I’m going to a No Kings Protest.","2026-04-05"
"2040870762266153211","happy easter","2026-04-05"
"2040297547974291463","We’re a few weeks away from where there will be no designers or engineers, but a third secret thing","2026-04-04"
"2040252904821653570","That's enough computer for today.","2026-04-04"
"2039594400599478366","Worst April Fools Day ever","2026-04-02"
"2038450184448082326","ザ エブリワン アプリ","2026-03-30"
"2038394048885805303","The largest cultural exchange in history just dropped.","2026-03-29"
"2038426261048246619","Post in your language. Post about your culture & daily life. Be the next country that pops off.","2026-03-30"
"2037949056543236446","“They’re losing faith in humanity. Release the wholesome Japanese posts.”","2026-03-28"
"2037960670940139769","All part of the plan.","2026-03-28"
